Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,target
1,2,5,3,3,3,1,2,1,1,Low FoMO
4,5,2,2,1,2,2,1,2,5,Low FoMO
5,3,3,1,2,5,2,2,1,3,Low FoMO
1,2,1,5,5,3,4,5,1,5,High FoMO
3,3,4,4,3,3,3,3,4,2,High FoMO
4,1,3,4,2,4,5,3,3,2,High FoMO
3,2,4,4,1,3,5,1,2,2,Low FoMO
2,1,5,4,2,4,4,5,3,2,High FoMO
3,3,3,2,3,3,4,2,5,4,High FoMO
5,5,1,2,1,4,4,1,1,3,Low FoMO
5,2,1,5,1,4,2,2,5,4,High FoMO
4,1,5,3,1,5,2,2,2,2,Low FoMO
2,4,4,4,3,4,2,2,5,2,High FoMO
5,2,1,5,2,5,2,1,4,4,High FoMO
3,1,1,4,5,5,5,3,2,3,High FoMO
5,2,4,4,3,3,5,3,1,2,High FoMO
2,3,5,2,1,2,3,4,3,2,Low FoMO
2,2,5,1,2,3,4,2,4,3,Low FoMO
3,4,2,3,4,5,2,5,5,3,High FoMO
4,2,5,1,3,2,4,5,1,5,High FoMO
1,5,3,1,2,2,3,1,2,2,Low FoMO
1,2,4,4,1,4,5,4,4,3,High FoMO
5,1,3,2,2,4,3,5,4,3,High FoMO
5,2,4,2,1,5,2,3,1,4,Low FoMO
1,2,4,2,1,1,1,2,1,2,Low FoMO
1,3,3,1,3,4,4,2,2,2,Low FoMO
5,5,5,1,2,4,5,2,3,3,High FoMO
5,2,1,4,3,3,2,3,4,4,High FoMO
1,3,3,3,5,1,1,5,5,3,High FoMO
1,2,4,4,3,2,3,5,2,3,Low FoMO
2,3,3,3,5,2,1,1,5,2,Low FoMO
2,2,1,4,5,2,3,1,5,5,High FoMO
5,5,3,1,3,1,3,1,3,3,Low FoMO
2,1,4,3,3,2,5,5,5,4,High FoMO
3,2,5,4,4,3,4,1,2,4,High FoMO
3,3,4,5,3,1,4,5,3,5,High FoMO
5,2,3,2,5,4,3,4,2,2,High FoMO
5,4,3,3,2,3,2,4,1,4,High FoMO
1,3,2,1,1,3,5,3,1,2,Low FoMO
4,4,2,4,2,2,2,1,3,1,Low FoMO
4,2,1,3,1,3,1,5,3,1,Low FoMO
5,4,4,2,5,5,2,4,5,3,High FoMO
3,5,5,2,2,5,1,4,4,1,High FoMO
3,1,4,4,3,2,2,3,3,2,Low FoMO
1,3,3,2,5,2,4,1,1,1,Low FoMO
5,1,4,1,4,3,2,4,4,4,High FoMO
5,4,1,5,5,2,5,3,4,2,High FoMO
3,3,4,3,2,2,1,5,5,4,High FoMO
5,5,3,3,3,1,1,3,1,1,Low FoMO
3,3,3,1,5,4,1,4,3,5,High FoMO
2,2,2,5,3,2,1,4,2,3,Low FoMO
3,2,4,5,3,2,5,4,3,5,High FoMO
5,1,3,1,4,3,5,3,5,1,High FoMO
4,1,4,2,1,5,3,2,5,1,Low FoMO
3,3,2,2,2,2,3,2,3,3,Low FoMO
5,2,2,4,2,2,1,1,4,5,Low FoMO
5,4,2,1,2,5,4,5,5,3,High FoMO
2,2,2,4,4,1,5,4,2,2,Low FoMO
5,1,4,3,1,1,1,1,5,5,Low FoMO
4,1,2,5,5,4,1,4,2,5,High FoMO
4,5,5,2,3,3,1,5,4,5,High FoMO
1,1,1,5,4,5,5,5,5,5,High FoMO
1,2,2,5,1,1,1,1,2,3,Low FoMO
2,4,4,4,5,2,5,3,2,1,High FoMO
2,4,2,4,4,2,3,4,1,3,Low FoMO
5,4,3,1,3,5,2,1,4,3,High FoMO
5,2,2,3,3,3,2,3,1,4,Low FoMO
2,3,2,4,5,5,3,4,4,4,High FoMO
1,5,1,2,1,1,2,4,3,2,Low FoMO
1,3,1,3,2,4,2,4,3,4,Low FoMO
3,5,2,3,1,5,5,1,3,5,High FoMO
3,1,2,4,1,4,5,4,3,5,High FoMO
4,5,3,3,5,3,1,5,2,1,High FoMO
5,4,5,2,2,1,3,2,3,5,High FoMO
2,3,5,3,5,2,5,5,5,3,High FoMO
1,2,1,1,1,3,3,4,3,1,Low FoMO
1,1,4,5,3,1,2,4,2,5,Low FoMO
5,1,2,3,3,2,3,1,4,4,Low FoMO
5,3,4,2,4,5,2,1,2,3,High FoMO
1,3,2,1,5,1,3,5,1,3,Low FoMO
5,2,3,2,1,4,1,2,5,2,Low FoMO
4,1,3,3,3,2,3,4,5,3,High FoMO
1,2,2,3,4,4,4,4,4,2,High FoMO
4,1,1,3,5,4,3,2,1,5,Low FoMO
4,1,4,1,3,5,3,2,3,3,Low FoMO
1,2,1,2,4,2,1,3,5,2,Low FoMO
2,4,4,1,4,4,1,2,5,4,High FoMO
5,1,2,4,1,5,1,3,5,2,Low FoMO
2,2,2,3,3,1,2,2,2,4,Low FoMO
4,5,5,2,1,1,1,4,5,2,High FoMO
4,2,3,1,1,2,4,3,2,3,Low FoMO
1,4,2,4,2,3,2,1,1,1,Low FoMO
4,5,2,1,1,4,2,4,1,2,Low FoMO
4,3,2,1,2,3,5,1,3,1,Low FoMO
4,5,2,5,5,3,3,4,2,5,High FoMO
4,4,2,1,1,1,2,4,3,1,Low FoMO
3,1,5,3,5,2,3,4,5,4,High FoMO
5,3,4,4,3,2,2,4,3,4,High FoMO
2,3,1,1,4,5,4,5,1,4,High FoMO
1,1,2,5,3,4,5,1,3,3,Low FoMO
5,5,1,2,5,1,1,1,5,1,Low FoMO
4,2,5,1,5,3,5,1,3,2,High FoMO
5,1,2,5,2,3,4,3,4,2,High FoMO
2,4,2,2,5,3,2,2,3,5,High FoMO
1,4,2,1,2,2,2,1,5,1,Low FoMO
2,5,3,3,5,5,1,4,1,2,High FoMO
1,4,2,4,3,5,4,3,1,2,Low FoMO
5,5,3,5,4,5,5,4,5,5,High FoMO
1,3,3,4,4,4,5,3,1,4,High FoMO
2,2,3,3,4,3,5,5,5,3,High FoMO
5,3,5,5,2,2,3,4,5,5,High FoMO
2,2,4,2,5,5,5,4,2,3,High FoMO
5,2,2,2,2,3,3,1,4,2,Low FoMO
4,1,2,1,3,5,5,5,4,5,High FoMO
3,2,2,5,4,2,5,2,3,2,High FoMO
1,2,5,2,3,4,1,1,2,4,Low FoMO
2,1,3,5,2,5,2,2,5,2,Low FoMO
1,2,5,1,2,5,4,1,1,5,Low FoMO
2,4,1,2,3,3,3,1,3,2,Low FoMO
3,4,3,2,1,1,1,4,3,2,Low FoMO
2,2,3,5,4,1,1,3,4,1,Low FoMO
4,4,2,4,2,3,1,1,5,2,Low FoMO
3,2,4,4,4,4,3,1,2,2,Low FoMO
3,5,2,5,2,2,5,3,5,5,High FoMO
1,3,5,4,3,5,4,3,3,2,High FoMO
2,3,5,2,3,5,1,5,2,5,High FoMO
2,2,2,2,2,1,5,2,4,4,Low FoMO
1,3,5,2,5,5,1,2,3,4,High FoMO
2,5,1,3,4,4,3,2,4,1,Low FoMO
2,2,5,4,3,5,2,5,2,4,High FoMO
5,2,4,4,5,3,3,5,3,5,High FoMO
2,3,3,2,1,4,3,3,5,1,Low FoMO
4,4,5,4,3,5,1,4,1,1,High FoMO
3,1,1,1,3,3,2,2,3,2,Low FoMO
2,5,1,1,2,1,4,1,2,2,Low FoMO
4,3,4,5,1,4,4,4,3,5,High FoMO
2,5,2,3,5,4,2,5,1,2,High FoMO
4,3,4,2,1,3,1,3,1,4,Low FoMO
4,1,1,1,1,2,1,4,2,5,Low FoMO
2,5,3,1,4,4,3,4,2,5,High FoMO
2,5,4,3,3,2,3,5,3,2,High FoMO
1,2,3,3,5,5,2,4,4,3,High FoMO
5,3,5,3,2,1,2,1,4,2,Low FoMO
5,1,2,5,4,2,3,5,2,4,High FoMO
2,3,4,2,1,3,5,1,3,2,Low FoMO
1,5,2,3,1,4,2,5,2,2,Low FoMO
4,5,5,2,4,1,1,1,5,4,High FoMO
5,4,1,5,3,5,4,4,4,3,High FoMO
4,5,3,2,2,3,1,4,2,4,High FoMO
1,3,1,1,5,2,3,1,3,2,Low FoMO
2,5,5,5,3,2,1,3,4,2,High FoMO
4,2,3,1,4,1,2,4,4,4,Low FoMO
2,3,1,2,1,2,3,5,1,4,Low FoMO
1,4,5,1,2,5,4,3,5,4,High FoMO
4,5,2,1,4,4,5,3,2,4,High FoMO
1,2,2,4,5,1,1,4,5,3,Low FoMO
2,1,2,5,1,4,4,2,3,1,Low FoMO
4,1,3,3,4,2,3,4,5,2,High FoMO
2,5,3,4,2,1,2,3,2,3,Low FoMO
1,1,5,5,1,2,1,5,5,2,Low FoMO
5,1,1,5,5,3,5,2,1,3,High FoMO
1,3,4,5,2,2,5,4,3,5,High FoMO
4,2,3,5,4,5,1,1,4,1,High FoMO
